image_id,image_path,resnet50_raw_score
p2_img21,data/raw/p2_img21.png,9.520150184631348
p4_img20,data/raw/p4_img20.png,9.468697547912598
p0_img13,data/raw/p0_img13.png,9.459686279296877
p4_seed12,data/raw/p4_seed12.jpg,9.457139015197754
p2_img8,data/raw/p2_img8.png,9.418587684631348
p4_img2,data/raw/p4_img2.png,9.357884407043455
p0_img28,data/raw/p0_img28.png,9.317402839660645
p2_seed11,data/raw/p2_seed11.jpg,9.303627967834473
p4_img13,data/raw/p4_img13.png,9.291211128234863
p4_img14,data/raw/p4_img14.png,9.261639595031738
p2_seed22,data/raw/p2_seed22.jpg,9.243233680725098
p4_img22,data/raw/p4_img22.png,9.221430778503418
p5_seed29,data/raw/p5_seed29.jpg,9.1921968460083
p3_img25,data/raw/p3_img25.png,9.18745231628418
p4_img27,data/raw/p4_img27.png,9.164992332458496
p0_img5,data/raw/p0_img5.png,9.103311538696287
p0_seed28,data/raw/p0_seed28.jpg,9.050414085388184
p2_seed23,data/raw/p2_seed23.jpg,9.042436599731444
p0_img29,data/raw/p0_img29.png,9.030571937561035
p4_img28,data/raw/p4_img28.png,9.02397632598877
p0_img22,data/raw/p0_img22.png,9.022584915161133
p8_img5,data/raw/p8_img5.png,9.010642051696776
p2_img13,data/raw/p2_img13.png,8.995260238647461
p4_img16,data/raw/p4_img16.png,8.942113876342773
p0_seed22,data/raw/p0_seed22.jpg,8.925651550292969
p1_img3,data/raw/p1_img3.png,8.904508590698242
p2_img24,data/raw/p2_img24.png,8.871679306030273
p8_img10,data/raw/p8_img10.png,8.868903160095215
p0_img20,data/raw/p0_img20.png,8.855986595153809
p7_img22,data/raw/p7_img22.png,8.807488441467285
p0_seed19,data/raw/p0_seed19.jpg,8.801194190979004
p4_img17,data/raw/p4_img17.png,8.776924133300781
p0_img17,data/raw/p0_img17.png,8.767071723937988
p2_img22,data/raw/p2_img22.png,8.746345520019531
p5_seed21,data/raw/p5_seed21.jpg,8.737390518188477
p4_seed27,data/raw/p4_seed27.jpg,8.724352836608887
p2_seed9,data/raw/p2_seed9.jpg,8.705099105834961
p1_img19,data/raw/p1_img19.png,8.698249816894531
p2_seed15,data/raw/p2_seed15.jpg,8.69659423828125
p2_seed1,data/raw/p2_seed1.jpg,8.689148902893066
p0_img25,data/raw/p0_img25.png,8.664490699768066
p2_seed21,data/raw/p2_seed21.jpg,8.65755558013916
p7_img24,data/raw/p7_img24.png,8.640395164489746
p8_img12,data/raw/p8_img12.png,8.63461971282959
p8_img13,data/raw/p8_img13.png,8.630112648010254
p2_seed27,data/raw/p2_seed27.jpg,8.626827239990234
p4_seed4,data/raw/p4_seed4.jpg,8.62090015411377
p8_img22,data/raw/p8_img22.png,8.619549751281738
p0_img12,data/raw/p0_img12.png,8.618182182312012
p2_seed0,data/raw/p2_seed0.jpg,8.61622428894043
p4_img8,data/raw/p4_img8.png,8.611319541931152
p0_img15,data/raw/p0_img15.png,8.60431957244873
p8_img6,data/raw/p8_img6.png,8.575409889221191
p5_seed9,data/raw/p5_seed9.jpg,8.56967544555664
p8_img17,data/raw/p8_img17.png,8.518720626831055
p3_seed10,data/raw/p3_seed10.jpg,8.505232810974121
p6_img21,data/raw/p6_img21.png,8.486367225646973
p0_seed5,data/raw/p0_seed5.jpg,8.478449821472168
p4_img24,data/raw/p4_img24.png,8.473029136657715
p5_seed4,data/raw/p5_seed4.jpg,8.47187614440918
p7_img8,data/raw/p7_img8.png,8.464674949645996
p1_img18,data/raw/p1_img18.png,8.452142715454102
p0_img18,data/raw/p0_img18.png,8.444428443908691
p3_img17,data/raw/p3_img17.png,8.409829139709473
p4_seed18,data/raw/p4_seed18.jpg,8.409293174743652
p4_seed16,data/raw/p4_seed16.jpg,8.383675575256348
p2_seed3,data/raw/p2_seed3.jpg,8.353055953979492
p4_img11,data/raw/p4_img11.png,8.350028991699219
p2_seed5,data/raw/p2_seed5.jpg,8.322903633117676
p1_seed20,data/raw/p1_seed20.jpg,8.273274421691895
p4_img3,data/raw/p4_img3.png,8.269139289855957
p1_img11,data/raw/p1_img11.png,8.258508682250977
p0_img0,data/raw/p0_img0.png,8.257041931152344
p4_seed10,data/raw/p4_seed10.jpg,8.247044563293457
p0_seed9,data/raw/p0_seed9.jpg,8.24415397644043
p4_img26,data/raw/p4_img26.png,8.24381160736084
p0_seed18,data/raw/p0_seed18.jpg,8.228677749633789
p3_img10,data/raw/p3_img10.png,8.200206756591797
p0_img8,data/raw/p0_img8.png,8.191457748413086
p3_img21,data/raw/p3_img21.png,8.190831184387207
p4_img21,data/raw/p4_img21.png,8.173680305480957
p4_img23,data/raw/p4_img23.png,8.172024726867676
p8_img23,data/raw/p8_img23.png,8.165703773498535
p0_img19,data/raw/p0_img19.png,8.139935493469238
p7_img7,data/raw/p7_img7.png,8.134095191955566
p7_img13,data/raw/p7_img13.png,8.128569602966309
p6_seed19,data/raw/p6_seed19.jpg,8.127890586853027
p2_img17,data/raw/p2_img17.png,8.114212989807129
p5_seed13,data/raw/p5_seed13.jpg,8.113592147827148
p4_img6,data/raw/p4_img6.png,8.105273246765137
p0_seed1,data/raw/p0_seed1.jpg,8.093965530395508
p6_seed0,data/raw/p6_seed0.jpg,8.092118263244629
p7_img25,data/raw/p7_img25.png,8.089962005615234
p0_seed25,data/raw/p0_seed25.jpg,8.086404800415039
p0_seed13,data/raw/p0_seed13.jpg,8.084306716918945
p1_img12,data/raw/p1_img12.png,8.07392692565918
p4_seed13,data/raw/p4_seed13.jpg,8.072980880737305
