image_id,image_path,resnet18_adjusted_score
p4_img20,data/raw/p4_img20.png,9.155741553646198
p2_seed25,data/raw/p2_seed25.jpg,9.029521037892687
p2_seed28,data/raw/p2_seed28.jpg,9.02082053904433
p2_seed11,data/raw/p2_seed11.jpg,9.019412207740908
p4_img0,data/raw/p4_img0.png,8.98930280868444
p4_img9,data/raw/p4_img9.png,8.97284301432402
p4_img17,data/raw/p4_img17.png,8.945490915198251
p4_img25,data/raw/p4_img25.png,8.927195392630042
p2_seed20,data/raw/p2_seed20.jpg,8.900276863922645
p4_img16,data/raw/p4_img16.png,8.87455242802295
p0_img29,data/raw/p0_img29.png,8.853320722838918
p4_img13,data/raw/p4_img13.png,8.850113579536185
p0_img9,data/raw/p0_img9.png,8.806660750323422
p4_img8,data/raw/p4_img8.png,8.775706687375209
p4_img21,data/raw/p4_img21.png,8.74390697919284
p4_img27,data/raw/p4_img27.png,8.739901846080663
p4_img14,data/raw/p4_img14.png,8.726240069944522
p2_seed5,data/raw/p2_seed5.jpg,8.725981671845672
p4_img23,data/raw/p4_img23.png,8.706566180374976
p4_img11,data/raw/p4_img11.png,8.678392645762958
p8_img17,data/raw/p8_img17.png,8.668402817254949
p4_img6,data/raw/p4_img6.png,8.658264383745339
p3_img22,data/raw/p3_img22.png,8.65672203366751
p4_img22,data/raw/p4_img22.png,8.65641433147416
p2_seed0,data/raw/p2_seed0.jpg,8.646499685430513
p3_img8,data/raw/p3_img8.png,8.626834827390716
p0_img0,data/raw/p0_img0.png,8.62114679313697
p4_img10,data/raw/p4_img10.png,8.602459480902931
p4_img26,data/raw/p4_img26.png,8.581929627537082
p8_img27,data/raw/p8_img27.png,8.581562596186183
p4_img4,data/raw/p4_img4.png,8.571955176176205
p0_seed19,data/raw/p0_seed19.jpg,8.558830288922326
p0_img17,data/raw/p0_img17.png,8.554489467795467
p4_img28,data/raw/p4_img28.png,8.553372587842695
p4_seed19,data/raw/p4_seed19.jpg,8.535146440594184
p2_seed15,data/raw/p2_seed15.jpg,8.52222507400166
p0_img13,data/raw/p0_img13.png,8.520812924122797
p0_seed4,data/raw/p0_seed4.jpg,8.512324267334455
p0_img8,data/raw/p0_img8.png,8.50356361876539
p3_img21,data/raw/p3_img21.png,8.491674355360939
p1_img22,data/raw/p1_img22.png,8.485944396716944
p0_img25,data/raw/p0_img25.png,8.485288459621481
p1_img19,data/raw/p1_img19.png,8.455800014270409
p4_img24,data/raw/p4_img24.png,8.453501321000145
p9_img11,data/raw/p9_img11.png,8.452668710270965
p7_img20,data/raw/p7_img20.png,8.448520174292703
p9_img8,data/raw/p9_img8.png,8.448489973836537
p8_img13,data/raw/p8_img13.png,8.436711467606086
p0_img10,data/raw/p0_img10.png,8.429497260340998
p7_img23,data/raw/p7_img23.png,8.428474283747404
p0_img11,data/raw/p0_img11.png,8.42417173819743
p4_img19,data/raw/p4_img19.png,8.404286125214107
p0_img20,data/raw/p0_img20.png,8.403055224710258
p2_img8,data/raw/p2_img8.png,8.391381012887992
p7_img8,data/raw/p7_img8.png,8.381760106379271
p0_img15,data/raw/p0_img15.png,8.381739338758551
p7_img16,data/raw/p7_img16.png,8.37333102620099
p5_seed5,data/raw/p5_seed5.jpg,8.372854626911497
p2_seed6,data/raw/p2_seed6.jpg,8.364878923324618
p2_img24,data/raw/p2_img24.png,8.360132188291402
p4_img29,data/raw/p4_img29.png,8.354623709600078
p2_seed23,data/raw/p2_seed23.jpg,8.347951213392482
p9_img22,data/raw/p9_img22.png,8.344943968783793
p7_img28,data/raw/p7_img28.png,8.341965693221104
p7_img22,data/raw/p7_img22.png,8.34183791989669
p8_img8,data/raw/p8_img8.png,8.335921620614545
p4_img1,data/raw/p4_img1.png,8.334101762883225
p8_img14,data/raw/p8_img14.png,8.330255477933674
p0_img16,data/raw/p0_img16.png,8.329248207520063
p7_img7,data/raw/p7_img7.png,8.328737445279291
p0_img26,data/raw/p0_img26.png,8.32171152761108
p5_seed29,data/raw/p5_seed29.jpg,8.320486585968299
p4_img12,data/raw/p4_img12.png,8.310133041030282
p8_img10,data/raw/p8_img10.png,8.301706567984775
p0_img18,data/raw/p0_img18.png,8.297478786025918
p0_seed9,data/raw/p0_seed9.jpg,8.288658761259892
p2_seed16,data/raw/p2_seed16.jpg,8.286172546492569
p4_img18,data/raw/p4_img18.png,8.276366418165908
p3_img15,data/raw/p3_img15.png,8.275298591270506
p1_img11,data/raw/p1_img11.png,8.272361949632081
p2_img19,data/raw/p2_img19.png,8.260154731181949
p3_img13,data/raw/p3_img13.png,8.247906454535972
p8_img29,data/raw/p8_img29.png,8.237947780360598
p9_img24,data/raw/p9_img24.png,8.235221661037627
p2_img22,data/raw/p2_img22.png,8.21552367268103
p0_seed28,data/raw/p0_seed28.jpg,8.209587404874382
p8_img9,data/raw/p8_img9.png,8.208439868004934
p2_img13,data/raw/p2_img13.png,8.20824430195763
p0_img5,data/raw/p0_img5.png,8.200609985313731
p4_img5,data/raw/p4_img5.png,8.195071597442459
p2_img23,data/raw/p2_img23.png,8.176428977747987
p9_img15,data/raw/p9_img15.png,8.173530598976907
p0_img27,data/raw/p0_img27.png,8.169249703255748
p7_img9,data/raw/p7_img9.png,8.165942082227613
p1_img16,data/raw/p1_img16.png,8.164991116676328
p2_seed13,data/raw/p2_seed13.jpg,8.163130041806003
p8_img15,data/raw/p8_img15.png,8.159904316147667
p8_img19,data/raw/p8_img19.png,8.15987416928133
p0_img7,data/raw/p0_img7.png,8.158829199319397
p7_img29,data/raw/p7_img29.png,8.156700253005893
