image_id,image_path,vgg16_raw_score,vgg16_adjusted_score,resnet18_raw_score,resnet18_adjusted_score,resnet50_raw_score,resnet50_adjusted_score,ensemble_raw_score,ensemble_adjusted_score
p0_img0,data/raw/p0_img0.png,8.627708435058594,8.351193040246413,8.904298782348633,8.62114679313697,8.257041931152344,8.444445384388555,1.1294684107447133,1.203813866826601
p0_img1,data/raw/p0_img1.png,7.023547649383545,7.072275206243841,6.928619861602783,7.370808053517984,5.983437538146973,6.94430661264439,-0.5228335815162565,-0.029224346771549965
p0_img10,data/raw/p0_img10.png,8.375109672546387,8.072420950070292,8.511606216430664,8.429497260340998,7.25680685043335,6.961273655430131,0.6710391191011533,0.5965364483859044
p0_img11,data/raw/p0_img11.png,8.744161605834961,8.445421959567824,8.376714706420898,8.42417173819743,8.000565528869629,7.9767054912086595,1.0017799305842365,1.0608181228243874
p0_img12,data/raw/p0_img12.png,7.074916839599609,7.163499311254625,7.4607625007629395,7.023866041164288,8.618182182312012,8.285542589523397,0.34822080252412396,0.3515874801646038
p0_img13,data/raw/p0_img13.png,8.487112998962402,8.410091820046997,8.636636734008789,8.520812924122797,9.459686279296875,8.465722747533363,1.3655311401885992,1.2150213336344489
p0_img14,data/raw/p0_img14.png,7.917430400848389,7.727992493582105,7.853288650512695,7.688210133298378,6.980985164642334,7.754845437262131,0.2876950949945282,0.5522732251597845
p0_img15,data/raw/p0_img15.png,7.807536602020264,7.748245508739569,8.245604515075684,8.381739338758551,8.60431957244873,7.495599913175549,0.7811031720988605,0.6170049244676354
p0_img16,data/raw/p0_img16.png,8.176464080810547,7.850374112175527,8.771036148071289,8.329248207520063,8.068703651428223,7.7329597888232025,0.873467835305144,0.7216683614042251
p0_img17,data/raw/p0_img17.png,8.27141284942627,8.191423393269444,8.59428596496582,8.554489467795467,8.767071723937988,8.138339396885085,1.0757789381778584,1.0309318611477714
p0_img18,data/raw/p0_img18.png,8.685413360595703,8.583156582798827,8.729427337646484,8.297478786025918,8.444428443908691,8.39249360342495,1.1721424660742705,1.220346572680835
p0_img19,data/raw/p0_img19.png,7.892553806304932,7.986417939509118,7.400331974029541,7.772629527259785,8.139935493469238,7.143990568121358,0.5214652321479227,0.4883637365089483
p0_img2,data/raw/p0_img2.png,8.096785545349121,7.912803189336902,8.28390884399414,8.102996840742462,7.216620445251465,7.636606541102256,0.5070651276017016,0.6736236864480009
p0_img20,data/raw/p0_img20.png,9.261825561523438,9.331578698490585,8.743741989135742,8.403055224710258,8.855986595153809,7.908901317296464,1.5181257230556053,1.4020366538091784
p0_img21,data/raw/p0_img21.png,7.9609575271606445,7.919971566984368,7.8445892333984375,7.866547773590566,6.845096588134766,7.031519814000709,0.26445581960534215,0.44483230965094295
p0_img22,data/raw/p0_img22.png,8.627310752868652,8.427535259576224,8.671037673950195,8.138314028908002,9.022584915161133,8.130844265481175,1.302725804526303,1.0446874322094997
p0_img23,data/raw/p0_img23.png,7.785282611846924,7.527507505266495,7.669078826904297,7.586212172440432,7.977561950683594,8.136198974412425,0.48432591882221904,0.5663415928720658
p0_img24,data/raw/p0_img24.png,7.685192108154297,7.53133295598849,-5.6605448722839355,-4.698278400610002,7.584341049194336,7.548641251143587,-2.203714520615527,-2.017894555487356
