image_id,image_path,vgg16_adjusted_score
p0_img20,data/raw/p0_img20.png,9.331578698490585
p7_img20,data/raw/p7_img20.png,9.226911898338397
p2_seed21,data/raw/p2_seed21.jpg,9.015003391238464
p2_seed15,data/raw/p2_seed15.jpg,8.977962966392777
p7_img4,data/raw/p7_img4.png,8.947175605943197
p2_seed11,data/raw/p2_seed11.jpg,8.93667536043534
p4_img4,data/raw/p4_img4.png,8.900767409399196
p4_img20,data/raw/p4_img20.png,8.880902990599255
p4_img17,data/raw/p4_img17.png,8.875548338076575
p4_img21,data/raw/p4_img21.png,8.8542135559448
p4_img9,data/raw/p4_img9.png,8.761316366680928
p2_seed4,data/raw/p2_seed4.jpg,8.751045133802954
p4_img12,data/raw/p4_img12.png,8.724410494246277
p2_seed0,data/raw/p2_seed0.jpg,8.694104276101198
p0_seed4,data/raw/p0_seed4.jpg,8.688669020407753
p0_seed5,data/raw/p0_seed5.jpg,8.680372251424666
p4_img23,data/raw/p4_img23.png,8.67719446797043
p4_img28,data/raw/p4_img28.png,8.660140790116227
p4_img22,data/raw/p4_img22.png,8.604194329240562
p4_img24,data/raw/p4_img24.png,8.599510133949494
p0_img18,data/raw/p0_img18.png,8.583156582798827
p0_seed28,data/raw/p0_seed28.jpg,8.564854881703493
p0_img29,data/raw/p0_img29.png,8.562313923584528
p2_seed22,data/raw/p2_seed22.jpg,8.529400230966043
p4_img25,data/raw/p4_img25.png,8.517453465036017
p4_img11,data/raw/p4_img11.png,8.511177858628683
p1_img4,data/raw/p1_img4.png,8.497104039432788
p2_img8,data/raw/p2_img8.png,8.47723316509925
p4_img26,data/raw/p4_img26.png,8.468650217072437
p4_img8,data/raw/p4_img8.png,8.467368385580674
p2_seed20,data/raw/p2_seed20.jpg,8.459585591827734
p0_seed22,data/raw/p0_seed22.jpg,8.456363348604112
p0_img9,data/raw/p0_img9.png,8.449229493494252
p0_img11,data/raw/p0_img11.png,8.445421959567824
p2_img24,data/raw/p2_img24.png,8.442691100001321
p4_img14,data/raw/p4_img14.png,8.435645614304244
p2_seed2,data/raw/p2_seed2.jpg,8.434512847097851
p4_seed4,data/raw/p4_seed4.jpg,8.4330175836713
p4_img5,data/raw/p4_img5.png,8.43047155862077
p0_img22,data/raw/p0_img22.png,8.427535259576224
p2_img21,data/raw/p2_img21.png,8.423173807503321
p3_img21,data/raw/p3_img21.png,8.422346411944801
p2_seed27,data/raw/p2_seed27.jpg,8.41914453692687
p0_img13,data/raw/p0_img13.png,8.410091820046997
p6_seed11,data/raw/p6_seed11.jpg,8.40564052255193
p4_img27,data/raw/p4_img27.png,8.394201351642197
p0_img28,data/raw/p0_img28.png,8.390191226004093
p2_seed28,data/raw/p2_seed28.jpg,8.365791400101898
p0_img0,data/raw/p0_img0.png,8.351193040246413
p4_img10,data/raw/p4_img10.png,8.345745989606678
p2_seed16,data/raw/p2_seed16.jpg,8.344814620189826
p1_img19,data/raw/p1_img19.png,8.344809007980913
p2_seed6,data/raw/p2_seed6.jpg,8.343553827746709
p4_img16,data/raw/p4_img16.png,8.343194065415267
p2_seed1,data/raw/p2_seed1.jpg,8.338528643896897
p4_img6,data/raw/p4_img6.png,8.325127761628723
p4_img13,data/raw/p4_img13.png,8.31904213711213
p2_seed23,data/raw/p2_seed23.jpg,8.293761433465518
p0_img5,data/raw/p0_img5.png,8.28792397967073
p4_img1,data/raw/p4_img1.png,8.28525978114002
p7_img9,data/raw/p7_img9.png,8.281016954191283
p4_img2,data/raw/p4_img2.png,8.277319272574628
p0_img25,data/raw/p0_img25.png,8.250730237607169
p0_img8,data/raw/p0_img8.png,8.241964937307177
p2_seed9,data/raw/p2_seed9.jpg,8.240270932498124
p5_seed9,data/raw/p5_seed9.jpg,8.223619398577123
p8_img11,data/raw/p8_img11.png,8.223387121949461
p0_seed1,data/raw/p0_seed1.jpg,8.214042479879318
p8_img8,data/raw/p8_img8.png,8.2136224440728
p2_seed13,data/raw/p2_seed13.jpg,8.202327198663696
p8_img10,data/raw/p8_img10.png,8.198474495608787
p0_img17,data/raw/p0_img17.png,8.191423393269444
p2_seed5,data/raw/p2_seed5.jpg,8.184585158166717
p0_img7,data/raw/p0_img7.png,8.172963321929844
p2_img22,data/raw/p2_img22.png,8.16799100317436
p7_img17,data/raw/p7_img17.png,8.142343923283232
p4_img29,data/raw/p4_img29.png,8.136645820287102
p8_img19,data/raw/p8_img19.png,8.12547823279755
p8_img21,data/raw/p8_img21.png,8.121191271560857
p1_img8,data/raw/p1_img8.png,8.116130516159206
p0_img26,data/raw/p0_img26.png,8.115996706325642
p7_img6,data/raw/p7_img6.png,8.112976409626913
p7_img7,data/raw/p7_img7.png,8.109308126351026
p8_img5,data/raw/p8_img5.png,8.09878706897147
p1_img11,data/raw/p1_img11.png,8.095131947272924
p7_img21,data/raw/p7_img21.png,8.07926953709725
p5_seed29,data/raw/p5_seed29.jpg,8.079116793956327
p0_img10,data/raw/p0_img10.png,8.072420950070292
p8_img6,data/raw/p8_img6.png,8.043145028499769
p3_seed10,data/raw/p3_seed10.jpg,8.040380167384367
p0_seed9,data/raw/p0_seed9.jpg,8.036875482565307
p0_img3,data/raw/p0_img3.png,8.0283221594053
p4_img18,data/raw/p4_img18.png,8.01568684383323
p7_img14,data/raw/p7_img14.png,8.013599171589435
p7_img13,data/raw/p7_img13.png,8.01098117094127
p0_img19,data/raw/p0_img19.png,7.986417939509118
p7_img22,data/raw/p7_img22.png,7.979243354856208
p8_img17,data/raw/p8_img17.png,7.975121366479911
p6_img8,data/raw/p6_img8.png,7.974997716508812
p7_img8,data/raw/p7_img8.png,7.973310440235523
