image_id,image_path,vgg16_raw_score
p2_seed21,data/raw/p2_seed21.jpg,9.77886199951172
p2_seed15,data/raw/p2_seed15.jpg,9.736494064331056
p7_img20,data/raw/p7_img20.png,9.55024528503418
p0_seed5,data/raw/p0_seed5.jpg,9.532684326171877
p4_img17,data/raw/p4_img17.png,9.38111972808838
p1_img4,data/raw/p1_img4.png,9.323081970214844
p7_img4,data/raw/p7_img4.png,9.298738479614258
p4_img21,data/raw/p4_img21.png,9.231014251708984
p2_seed23,data/raw/p2_seed23.jpg,9.218993186950684
p2_seed22,data/raw/p2_seed22.jpg,9.161218643188477
p2_seed11,data/raw/p2_seed11.jpg,9.090391159057615
p4_img4,data/raw/p4_img4.png,9.0894193649292
p4_img11,data/raw/p4_img11.png,9.078266143798828
p4_img2,data/raw/p4_img2.png,9.051589965820312
p0_img18,data/raw/p0_img18.png,9.015233993530272
p4_img12,data/raw/p4_img12.png,9.000877380371094
p4_img22,data/raw/p4_img22.png,8.978082656860352
p4_img10,data/raw/p4_img10.png,8.971025466918945
p0_img20,data/raw/p0_img20.png,8.967101097106934
p0_seed22,data/raw/p0_seed22.jpg,8.955374717712402
p4_img28,data/raw/p4_img28.png,8.925054550170898
p0_seed28,data/raw/p0_seed28.jpg,8.88958740234375
p4_img20,data/raw/p4_img20.png,8.87051010131836
p2_img21,data/raw/p2_img21.png,8.856316566467285
p4_img8,data/raw/p4_img8.png,8.85480785369873
p0_seed4,data/raw/p0_seed4.jpg,8.8521089553833
p2_seed2,data/raw/p2_seed2.jpg,8.841779708862305
p2_seed27,data/raw/p2_seed27.jpg,8.827421188354492
p4_img16,data/raw/p4_img16.png,8.819994926452637
p6_seed11,data/raw/p6_seed11.jpg,8.811514854431152
p0_img0,data/raw/p0_img0.png,8.79299545288086
p2_seed16,data/raw/p2_seed16.jpg,8.773093223571777
p4_img9,data/raw/p4_img9.png,8.746665954589844
p0_img11,data/raw/p0_img11.png,8.745990753173828
p2_seed4,data/raw/p2_seed4.jpg,8.713947296142578
p4_img24,data/raw/p4_img24.png,8.712224960327148
p7_img17,data/raw/p7_img17.png,8.709754943847656
p0_img29,data/raw/p0_img29.png,8.706476211547852
p4_img14,data/raw/p4_img14.png,8.700239181518555
p0_img9,data/raw/p0_img9.png,8.698607444763184
p1_img19,data/raw/p1_img19.png,8.694300651550293
