image_id,image_path,raw_score,adjusted_score
p0_img0,data/raw/p0_img0.png,8.79299545288086,8.123046682667436
p0_img1,data/raw/p0_img1.png,7.108558654785156,6.844777315611043
p0_img10,data/raw/p0_img10.png,8.185417175292969,7.854092743951763
p0_img11,data/raw/p0_img11.png,8.745990753173828,8.84836057981719
p0_img12,data/raw/p0_img12.png,7.268404960632324,6.989496366696271
p0_img13,data/raw/p0_img13.png,8.585920333862305,8.288979974170902
p0_img14,data/raw/p0_img14.png,8.094456672668457,7.699616765463127
p0_img15,data/raw/p0_img15.png,7.864840984344482,7.769092629267822
p0_img16,data/raw/p0_img16.png,7.895463466644287,7.858946636177705
p0_img17,data/raw/p0_img17.png,8.244796752929688,8.17112291838277
p0_img18,data/raw/p0_img18.png,9.015233993530273,8.48581975270426
p0_img19,data/raw/p0_img19.png,7.837564468383789,7.78602673455532
p0_img2,data/raw/p0_img2.png,8.169352531433105,7.68052447148914
p0_img20,data/raw/p0_img20.png,8.967101097106934,9.30777629080528
p0_img21,data/raw/p0_img21.png,7.955255031585693,7.755907220360454
p0_img22,data/raw/p0_img22.png,8.64122200012207,7.81929237158582
p0_img23,data/raw/p0_img23.png,8.069659233093262,7.298070279644636
p0_img24,data/raw/p0_img24.png,7.482577323913574,7.175496097752878
p0_img25,data/raw/p0_img25.png,8.34233570098877,8.164878394697537
p0_img26,data/raw/p0_img26.png,7.983890056610107,7.703971091020571
p0_img27,data/raw/p0_img27.png,8.091145515441895,7.679767955192143
p0_img28,data/raw/p0_img28.png,8.62307357788086,8.200938609901215
p0_img29,data/raw/p0_img29.png,8.706476211547852,8.516882911059012
p0_img3,data/raw/p0_img3.png,8.295344352722168,7.7523803408955665
p0_img4,data/raw/p0_img4.png,8.250473976135254,8.106838075652743
p0_img5,data/raw/p0_img5.png,8.323494911193848,7.955571597686966
p0_img6,data/raw/p0_img6.png,8.034685134887695,7.735996163230246
p0_img7,data/raw/p0_img7.png,8.273111343383789,7.865583677725114
p0_img8,data/raw/p0_img8.png,8.419198989868164,8.230000458560053
p0_img9,data/raw/p0_img9.png,8.698607444763184,8.070100606012982
p0_seed0,data/raw/p0_seed0.jpg,7.481469631195068,6.980111005468665
p0_seed1,data/raw/p0_seed1.jpg,8.158065795898438,8.457219153605081
p0_seed10,data/raw/p0_seed10.jpg,7.712263584136963,7.919382438110133
p0_seed11,data/raw/p0_seed11.jpg,8.043564796447754,7.3989095183702185
p0_seed12,data/raw/p0_seed12.jpg,6.664669990539551,6.500357686522687
p0_seed13,data/raw/p0_seed13.jpg,8.026134490966797,7.900086449800122
p0_seed14,data/raw/p0_seed14.jpg,7.476559162139893,7.477627991528076
