image_id,image_path,raw_score,adjusted_score
p0_img0,data/raw/p0_img0.png,9.026510238647461,5.869916832073
p0_img1,data/raw/p0_img1.png,6.6162238121032715,5.80585751846832
p0_img10,data/raw/p0_img10.png,8.655981063842773,5.627925908625431
p0_img11,data/raw/p0_img11.png,8.315713882446289,6.116514363280245
p0_img12,data/raw/p0_img12.png,6.896385669708252,5.713785084725891
p0_img13,data/raw/p0_img13.png,5.392380237579346,5.693473351979019
p0_img14,data/raw/p0_img14.png,7.426355838775635,5.967992887726489
p0_img15,data/raw/p0_img15.png,7.761926651000977,6.068524799512041
p0_img16,data/raw/p0_img16.png,6.85012674331665,5.543588351738423
p0_img17,data/raw/p0_img17.png,7.26961612701416,5.58358836378593
p0_img18,data/raw/p0_img18.png,6.475428104400635,5.601015843460793
p0_img19,data/raw/p0_img19.png,4.146420001983643,5.660855303837852
p0_img2,data/raw/p0_img2.png,6.0760369300842285,5.421257366147626
p0_img20,data/raw/p0_img20.png,6.236774921417236,5.514615186978799
p0_img21,data/raw/p0_img21.png,7.200536251068115,5.618213886305324
p0_img22,data/raw/p0_img22.png,2.0819010734558105,5.649567910948221
p0_img23,data/raw/p0_img23.png,3.6532139778137207,5.792649043459466
p0_img24,data/raw/p0_img24.png,-705.3255004882812,6.027303365050838
p0_img25,data/raw/p0_img25.png,7.852582931518555,5.720915459398104
p0_img26,data/raw/p0_img26.png,7.216613292694092,5.804387571301509
p0_img27,data/raw/p0_img27.png,-1.329994559288025,6.089478960034029
p0_img28,data/raw/p0_img28.png,8.273338317871094,5.557946929253967
p0_img29,data/raw/p0_img29.png,7.549026012420654,5.563310776388758
p0_img3,data/raw/p0_img3.png,6.211090087890625,5.4893759268898314
p0_img4,data/raw/p0_img4.png,6.384212017059326,5.74737260773271
p0_img5,data/raw/p0_img5.png,6.7388997077941895,6.0924645971056055
p0_img6,data/raw/p0_img6.png,6.371160984039307,5.712565985975491
p0_img7,data/raw/p0_img7.png,7.702861309051514,5.835293144061241
p0_img8,data/raw/p0_img8.png,3.316066265106201,5.874721959554451
p0_img9,data/raw/p0_img9.png,6.3621745109558105,5.665910097232868
