image_id,image_path,ensemble_adjusted_score
p2_seed11,data/raw/p2_seed11.jpg,1.6057557264735547
p4_img20,data/raw/p4_img20.png,1.590518235535075
p4_img17,data/raw/p4_img17.png,1.5580134839559638
p4_img28,data/raw/p4_img28.png,1.5154410646675185
p4_img22,data/raw/p4_img22.png,1.5000202089473802
p2_seed15,data/raw/p2_seed15.jpg,1.493049037523232
p0_img29,data/raw/p0_img29.png,1.4529494859362186
p2_seed0,data/raw/p2_seed0.jpg,1.4242430509943576
p0_img20,data/raw/p0_img20.png,1.4020366538091784
p4_img9,data/raw/p4_img9.png,1.3276035619491853
p4_img4,data/raw/p4_img4.png,1.3253062540946148
p4_img25,data/raw/p4_img25.png,1.305845752016132
p4_img16,data/raw/p4_img16.png,1.29400170229073
p4_img21,data/raw/p4_img21.png,1.2722876804765335
p4_img12,data/raw/p4_img12.png,1.264211865254134
p0_seed22,data/raw/p0_seed22.jpg,1.2598711426682383
p4_img24,data/raw/p4_img24.png,1.2422392058627347
p4_img14,data/raw/p4_img14.png,1.2390352186635287
p4_img23,data/raw/p4_img23.png,1.2218796373789087
p0_img18,data/raw/p0_img18.png,1.220346572680835
p2_seed23,data/raw/p2_seed23.jpg,1.2168890457068742
p0_img13,data/raw/p0_img13.png,1.2150213336344489
p0_img9,data/raw/p0_img9.png,1.214370887604373
p2_seed28,data/raw/p2_seed28.jpg,1.2127455786783106
p4_img13,data/raw/p4_img13.png,1.2059582287085744
p0_img0,data/raw/p0_img0.png,1.203813866826601
p2_img8,data/raw/p2_img8.png,1.2011425829842497
p0_seed28,data/raw/p0_seed28.jpg,1.198642335359987
p7_img20,data/raw/p7_img20.png,1.1952692534151292
p2_img24,data/raw/p2_img24.png,1.1908288438524277
p4_img8,data/raw/p4_img8.png,1.1898854979716054
p2_seed22,data/raw/p2_seed22.jpg,1.1874835634695142
p4_img27,data/raw/p4_img27.png,1.1632796112544266
p0_seed19,data/raw/p0_seed19.jpg,1.1599163337056395
p0_seed4,data/raw/p0_seed4.jpg,1.1320725220347514
p4_img11,data/raw/p4_img11.png,1.1196215746449614
p2_seed9,data/raw/p2_seed9.jpg,1.1147475048186013
p8_img17,data/raw/p8_img17.png,1.1101396350982418
p2_img21,data/raw/p2_img21.png,1.1095462100373432
p0_img5,data/raw/p0_img5.png,1.1087429065875296
p7_img7,data/raw/p7_img7.png,1.1075529862654323
p4_img26,data/raw/p4_img26.png,1.1010180905451756
p2_seed21,data/raw/p2_seed21.jpg,1.0760307869085723
p0_seed5,data/raw/p0_seed5.jpg,1.0631162300523045
p0_img11,data/raw/p0_img11.png,1.0608181228243874
p2_seed20,data/raw/p2_seed20.jpg,1.0504928363211077
p8_img10,data/raw/p8_img10.png,1.046588076618088
p0_img22,data/raw/p0_img22.png,1.0446874322094997
p1_img19,data/raw/p1_img19.png,1.0442688351100866
p0_img28,data/raw/p0_img28.png,1.040895319126638
p0_img17,data/raw/p0_img17.png,1.0309318611477714
p4_seed4,data/raw/p4_seed4.jpg,1.028814054425975
p0_img25,data/raw/p0_img25.png,1.0234369486896198
p4_img5,data/raw/p4_img5.png,1.010452622485532
p0_img8,data/raw/p0_img8.png,1.0094527436331455
p4_img6,data/raw/p4_img6.png,1.002304906094433
p8_img8,data/raw/p8_img8.png,0.9869539552864404
p4_img29,data/raw/p4_img29.png,0.9701240101439584
p8_img11,data/raw/p8_img11.png,0.9679305956761096
p8_img5,data/raw/p8_img5.png,0.9677727800451128
p5_seed29,data/raw/p5_seed29.jpg,0.9576265075291802
p2_seed13,data/raw/p2_seed13.jpg,0.9546311598125372
